entity,code,working_hours,population,income_p_hour,health_share,food_share,gini
Australia,AUS,0.000579106665425062,25.357168,24.393091296197827,7.5821954253896555,10.025093812321622,3.144654088050314
Austria,AUT,0.0006205882767275114,8.879939,25.26574697216494,7.737011782828895,8.83955630731071,3.64963503649635
Belgium,BEL,0.0006303457257201857,11.510569,24.167532025738527,7.693170700267102,7.419148897495926,3.8167938931297707
Brazil,BRA,0.0005855503734347507,211.78288,3.9109892487118074,7.853845009655631,6.152890089386115,2.079002079002079
Bulgaria,BGR,0.0006078116561864742,7.052536,4.963166845331006,11.700351688732235,5.172218318921464,2.487562189054726
Canada,CAN,0.0005919678604073484,37.522584,22.37820679967654,7.436097146450082,10.01434153851732,3.571428571428571
Chile,CHL,0.0005223568742164647,19.039484,6.036601723400961,8.438558073773684,5.404040958091071,2.1739130434782608
China,CHN,0.00046105917279529575,1421.864064,3.4441644961656706,13.843299890322733,5.0118809143014,1.9455252918287937
Costa Rica,CRI,0.0004832679584548068,5.084527,5.461379880060577,12.352305309915916,3.166591497062179,2.053388090349076
Czechia,CZE,0.0005594269454141955,10.536876,9.774114748291217,9.690041202577433,6.197235574338412,4.032258064516129
Denmark,DNK,0.0007243187184889668,5.795879,36.91679504786718,8.412120961500536,8.116454236062696,3.731343283582089
Estonia,EST,0.0005564166102599328,1.327039,10.606841581136086,11.922893475905381,4.956202042549988,3.278688524590164
Finland,FIN,0.0006286561857945579,5.521539,24.93213042979557,8.892025263656574,8.348193117081738,3.773584905660377
France,FRA,0.000664490504563588,64.39976,22.523257015733208,7.5184034329390315,7.109826918373499,3.4246575342465757
Germany,DEU,0.0007213982891895293,83.148144,28.652498933954043,7.2503210830854234,8.349452647456976,3.3783783783783785
Greece,GRC,0.000491047347521819,10.574026,7.932925715680737,10.296248906345259,5.669581871171792,3.2467532467532467
Hungary,HUN,0.0005796335660929202,9.771799,7.913134537971939,12.955921321567653,5.565218630170408,3.4965034965034967
India,IND,0.0004710447164162428,1383.112064,0.8443883723814,29.547129852393237,3.1168677025555693,2.0202020202020203
Ireland,IRL,0.0005643411241189859,4.896021,23.870020001477727,7.788099932221505,10.820669903345461,3.4246575342465757
Israel,ISR,0.000526073574124924,8.607922,19.845520311231123,10.920306472813882,6.266385815609592,2.923976608187134
Italy,ITA,0.0005821284584033416,59.727936,16.306096578809044,9.623753415550976,6.451047708207247,3.0303030303030303
Japan,JPN,0.0005913362614728104,125.79168,19.090564282090877,7.372786095910112,5.9914616877779805,2.994011976047904
Latvia,LVA,0.0005361999871526484,1.916552,7.419845203767792,11.6960992222236,5.180120293789489,2.8169014084507045
Lithuania,LTU,0.0005301989385947448,2.849083,8.7255346908182,12.01265845830786,4.765363053949629,2.801120448179272
Mexico,MEX,0.0004679457182966776,125.085312,3.701091795640061,14.310064640608815,3.8133720466863514,2.380952380952381
Netherlands,NLD,0.000694573905302905,17.36326,29.66293101144755,7.996584059045995,8.239509353697006,3.2894736842105265
New Zealand,NZL,0.0005621184761372837,4.959033,19.91067224956273,8.678178897608058,8.196996784318161,3.125
Norway,NOR,0.0007225051391790549,5.348285,43.81923089967041,7.574163950824759,8.010921128556145,3.8022813688212924
Poland,POL,0.0004944052606301828,38.4936,6.546546921437076,13.057946433887158,5.821420475495953,3.558718861209964
Portugal,PRT,0.0005363113918331788,10.289921,9.968836596686538,8.366349229127756,5.724113198917802,3.2258064516129035
Romania,ROU,0.0005581180927653663,19.524212,5.875737526270144,14.254486636294478,3.9678631652231715,2.949852507374631
Russia,RUS,0.0005089058524173028,145.742288,4.441045940680661,13.343510837806432,3.4446459179568016,3.1545741324921135
Slovakia,SVK,0.0005899913165078037,5.453932,9.235315926853524,11.663513751033884,5.0918070634871455,4.504504504504505
Slovenia,SVN,0.0006277723998608857,2.112905,13.057389561980155,9.372968452312277,6.724876299262913,4.065040650406504
South Africa,ZAF,0.00045633692961819704,58.08706,2.486602146818599,9.898718323805348,4.69651981306724,1.6181229773462784
South Korea,KOR,0.0005051713889919719,51.803832,13.049312077843627,9.953461140509381,7.800478730980684,3.021148036253776
Spain,ESP,0.0005931368725612807,47.131372,14.903080973698176,9.262963335678347,7.627013998850304,3.125
Sweden,SWE,0.0006229456032686206,10.267922,27.75728677167873,7.882222493837865,7.902105555535806,3.623188405797101
Switzerland,CHE,0.0006423091063758942,8.575593,40.201058283014426,6.474445291882935,10.076087559991775,3.1645569620253164
Turkey,TUR,0.0005458515283842794,83.481688,4.11525768669315,18.970757660600206,3.668812077905464,2.4096385542168677
United States,USA,0.0005664610639588922,334.31968,31.50679316972193,5.217170635571099,14.949367985569674,2.6666666666666665
