code,year,food_share
DZA,2021,37.25587
AGO,2021,49.737926
ARG,2021,23.198097
AUS,2021,9.974969
AUT,2021,11.312785
AZE,2021,43.555817
BHR,2021,13.064381
BGD,2021,52.749126
BLR,2021,32.121384
BEL,2021,13.478635
BOL,2021,29.18861
BIH,2021,30.022688
BRA,2021,16.252525
BGR,2021,19.334064
KHM,2021,42.712593
CMR,2021,45.21058
CAN,2021,9.985679
CHL,2021,18.504671
CHN,2021,19.952589
COL,2021,18.59748
CRI,2021,31.579697
CIV,2021,38.530193
HRV,2021,19.568707
CZE,2021,16.136227
DNK,2021,12.320651
DOM,2021,26.796751
ECU,2021,26.310055
EGY,2021,37.588936
SLV,2021,26.51741
EST,2021,20.17674
ETH,2021,41.309013
FIN,2021,11.97864
FRA,2021,14.06504
GEO,2021,32.28741
DEU,2021,11.976833
GHA,2021,39.247723
GRC,2021,17.637985
GTM,2021,34.604183
HND,2021,31.932835
HKG,2021,12.056283
HUN,2021,17.968746
IND,2021,32.083492
IDN,2021,33.853706
IRN,2021,28.69944
IRQ,2021,29.634119
IRL,2021,9.241572
ISR,2021,15.958162
ITA,2021,15.501358
JPN,2021,16.690418
JOR,2021,26.371399
KAZ,2021,49.421284
KEN,2021,56.078693
KWT,2021,19.33307
LAO,2021,50.623756
LVA,2021,19.304571
LBN,2021,21.0206
LTU,2021,20.98476
MYS,2021,27.486546
MEX,2021,26.22351
MNE,2021,27.155628
MAR,2021,33.925957
MMR,2021,56.626648
NLD,2021,12.136645
NZL,2021,12.19959
NGA,2021,59.012196
MKD,2021,33.261982
NOR,2021,12.482959
OMN,2021,22.59022
PAK,2021,39.57528
PAN,2021,15.680728
PRY,2021,30.27997
PER,2021,26.604895
PHL,2021,38.564606
POL,2021,17.177938
PRT,2021,17.469955
QAT,2021,12.284774
ROU,2021,25.202482
RUS,2021,29.03056
SAU,2021,20.549967
SRB,2021,24.054436
SGP,2021,8.36342
SVK,2021,19.639393
SVN,2021,14.870162
ZAF,2021,21.292362
KOR,2021,12.819726
ESP,2021,13.111291
LKA,2021,27.715063
SWE,2021,12.654855
CHE,2021,9.924487
TWN,2021,13.33614
TZA,2021,27.379164
THA,2021,28.338812
TUN,2021,24.192238
TUR,2021,27.256779
TKM,2021,36.870106
UGA,2021,44.24747
UKR,2021,41.641056
ARE,2021,13.614112
GBR,2021,8.655319
USA,2021,6.689246
URY,2021,18.820482
UZB,2021,46.50713
VEN,2021,18.609703
VNM,2021,31.196798
